path	branch	sha	state	ahead	dirty_tracked	untracked
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/fix-settings-deeplink-buttons	refs/heads/claude/fix-settings-deeplink-buttons	1492800c	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/friendly-satoshi-541f5d	refs/heads/claude/friendly-satoshi-541f5d	5e916e55	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/mobile-lane-pass-1	refs/heads/claude/mobile-lane-pass-1	e28cb536	UNMERGED	15	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/parity-followups	refs/heads/claude/cross-surface-parity-audit-docs	1d2788dd	UNMERGED	2	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/per-daypart-fix-demo-seed-per-period-cycle	refs/heads/claude/per-daypart-fix-demo-seed-per-period-cycle	60ce0e00	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/per-daypart-fix-shift-card-closed-state	refs/heads/claude/per-daypart-fix-shift-card-closed-state	23ecff3a	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/q-4-orphan-lint	refs/heads/claude/wave-2-q-4-custom-role-orphan-lint	1b9ed48b	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/serene-euclid-a56e06	refs/heads/claude/serene-euclid-a56e06	d944779a	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/u-fu-hp11-account	refs/heads/claude/wave-2-u-fu-hp11-account	6444af13	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/ux-benchmark-cleanup	refs/heads/claude/ux-benchmark-cleanup	48a81623	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/ux-settings-declutter	refs/heads/claude/ux-settings-declutter	c6aa5545	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/ux-shift-chip-foh	refs/heads/claude/ux-shift-chip-foh	86315cb8	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/a2-1-dead-placeholder-sweep	refs/heads/codex/a2-1-dead-placeholder-sweep	9d7be85b	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/a2-2-email-wire-delete	refs/heads/codex/a2-2-email-wire-delete	8993d43d	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/a5-a8-schema-audit-lints	refs/heads/codex/a5-a8-schema-audit-lints	64ba3881	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/a9-1-lib-data-rehome	refs/heads/codex/a9-1-lib-data-rehome	ed69e124	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/b10-1-vendor-applicability	refs/heads/codex/b10-1-vendor-applicability	a3f14f82	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/b10-2-vendor-applicability-admin	refs/heads/codex/b10-2-vendor-applicability-admin	03d1975b	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/b3-role-key-hybrid	refs/heads/codex/b3-role-key-hybrid	6a3017ea	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/b4-two-product-role-editor	refs/heads/codex/b4-two-product-role-editor	cfb99b99	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/b5-admin-access-control	refs/heads/codex/b5-admin-access-control	3be073fd	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/b5-b-catalog-tri-mirror	refs/heads/codex/b5-b-catalog-tri-mirror	27c832b3	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/b7-a-invite-scope-fix	refs/heads/codex/b7-a-invite-scope-fix	634b5b86	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/b9-1-sign-in-security-redirect	refs/heads/codex/b9-1-sign-in-security-redirect	133dea76	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/b9-2-my-account-active-sessions	refs/heads/codex/b9-2-my-account-active-sessions	c0cf82f5	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/b9-3-adaptive-2fa-button	refs/heads/codex/b9-3-adaptive-2fa-button	939dbfb1	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/c-10-admin-parity-copy	refs/heads/codex/c-10-admin-parity-copy	86d60954	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/c-5-mobile-handoff-deeplink	refs/heads/codex/c-5-mobile-handoff-deeplink	3d15b455	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.codex/worktrees/c-6-inheritance-tree-consumers	refs/heads/codex/c-6-inheritance-tree-consumers	d52f574c	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo-c-7-adaptive-2fa-button	refs/heads/codex/c-7-adaptive-2fa-button	d920fcd6	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo_b6_benchmark_overrides	refs/heads/codex/b6-benchmark-overrides	46a81bd1	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo_c3_sign_in_security_redirect	refs/heads/codex/c-3-sign-in-security-redirect	c4e1ee46	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo_c4	refs/heads/codex/c-4-demo-live-master-switch	e4425f91	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo_c9_mobile_inbox_catalog	refs/heads/codex/c-9-mobile-inbox-catalog	732b5d84	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo_codex_a6_1	refs/heads/codex/a6-1-proxy-health-ui	f331cba1	MERGED_OR_DEAD	0	0	0
